Target,Source,Weight,Tipo
0,1,83,No dirigida
0,2,98,No dirigida
0,4,98,No dirigida
0,5,99,No dirigida
0,7,85,No dirigida
0,9,94,No dirigida
0,12,82,No dirigida
0,13,81,No dirigida
0,15,89,No dirigida
0,18,95,No dirigida
0,20,89,No dirigida
1,10,84,No dirigida
1,12,84,No dirigida
1,13,98,No dirigida
1,15,95,No dirigida
1,16,87,No dirigida
1,18,83,No dirigida
1,19,100,No dirigida
1,22,89,No dirigida
1,23,92,No dirigida
1,25,80,No dirigida
2,16,85,No dirigida
2,17,86,No dirigida
2,18,95,No dirigida
2,19,96,No dirigida
2,22,84,No dirigida
2,23,82,No dirigida
2,28,98,No dirigida
2,30,83,No dirigida
2,34,93,No dirigida
2,36,93,No dirigida
3,1,81,No dirigida
3,4,90,No dirigida
3,5,97,No dirigida
3,7,84,No dirigida
3,12,87,No dirigida
3,18,99,No dirigida
4,13,84,No dirigida
4,15,89,No dirigida
4,16,90,No dirigida
4,17,94,No dirigida
4,18,95,No dirigida
4,19,91,No dirigida
4,20,88,No dirigida
4,24,87,No dirigida
4,27,81,No dirigida
5,19,91,No dirigida
5,20,94,No dirigida
5,21,98,No dirigida
5,22,83,No dirigida
5,25,92,No dirigida
5,26,96,No dirigida
5,29,97,No dirigida
5,33,99,No dirigida
5,2,82,No dirigida
6,1,97,No dirigida
6,2,92,No dirigida
6,3,84,No dirigida
6,4,93,No dirigida
6,5,90,No dirigida
6,8,84,No dirigida
6,10,86,No dirigida
6,16,85,No dirigida
6,22,81,No dirigida
6,46,96,No dirigida
7,37,93,No dirigida
7,38,100,No dirigida
7,39,90,No dirigida
7,40,90,No dirigida
7,42,97,No dirigida
7,48,90,No dirigida
7,2,81,No dirigida
7,4,100,No dirigida
8,5,85,No dirigida
8,6,81,No dirigida
8,7,91,No dirigida
8,13,98,No dirigida
8,16,94,No dirigida
8,19,89,No dirigida
8,22,80,No dirigida
8,23,80,No dirigida
9,17,80,No dirigida
9,18,96,No dirigida
9,19,89,No dirigida
9,20,99,No dirigida
9,22,97,No dirigida
9,23,94,No dirigida
9,28,97,No dirigida
9,31,99,No dirigida
9,36,81,No dirigida
9,26,89,No dirigida
10,20,91,No dirigida
10,21,84,No dirigida
10,22,100,No dirigida
10,24,85,No dirigida
10,26,83,No dirigida
10,29,91,No dirigida
10,31,89,No dirigida
10,34,92,No dirigida
10,38,81,No dirigida
11,1,99,No dirigida
11,2,89,No dirigida
11,4,89,No dirigida
11,5,89,No dirigida
11,7,89,No dirigida
11,8,91,No dirigida
11,12,97,No dirigida
11,13,92,No dirigida
11,14,85,No dirigida
11,26,94,No dirigida
11,32,83,No dirigida
12,22,86,No dirigida
12,24,92,No dirigida
12,26,92,No dirigida
12,33,94,No dirigida
12,35,84,No dirigida
12,47,93,No dirigida
12,2,84,No dirigida
13,4,81,No dirigida
13,5,85,No dirigida
13,10,100,No dirigida
13,21,91,No dirigida
13,29,94,No dirigida
13,30,86,No dirigida
14,25,95,No dirigida
14,26,97,No dirigida
14,27,99,No dirigida
14,31,82,No dirigida
14,34,89,No dirigida
14,35,94,No dirigida
14,36,96,No dirigida
14,37,82,No dirigida
14,38,99,No dirigida
14,39,92,No dirigida
15,31,80,No dirigida
15,32,83,No dirigida
15,36,86,No dirigida
15,39,88,No dirigida
15,41,82,No dirigida
15,46,97,No dirigida
15,48,83,No dirigida
15,3,86,No dirigida
16,4,95,No dirigida
16,7,96,No dirigida
16,9,85,No dirigida
16,10,87,No dirigida
16,12,81,No dirigida
16,29,87,No dirigida
17,24,92,No dirigida
17,26,88,No dirigida
17,28,89,No dirigida
17,32,93,No dirigida
17,34,97,No dirigida
17,45,99,No dirigida
17,1,83,No dirigida
17,3,90,No dirigida
18,2,87,No dirigida
18,3,86,No dirigida
18,4,90,No dirigida
18,12,98,No dirigida
