Target,Source,Weight,tipo
23,1,86,No dirigida
31,18,99,No dirigida
9,30,86,No dirigida
2,42,86,No dirigida
24,26,83,No dirigida
45,19,84,No dirigida
38,21,80,No dirigida
31,37,83,No dirigida
43,27,87,No dirigida
36,49,95,No dirigida
38,41,88,No dirigida
28,23,97,No dirigida
30,50,99,No dirigida
33,36,97,No dirigida
38,37,91,No dirigida
25,44,97,No dirigida
22,36,97,No dirigida
29,7,83,No dirigida
44,8,85,No dirigida
29,17,85,No dirigida
48,32,83,No dirigida
16,39,80,No dirigida
44,18,82,No dirigida
46,27,97,No dirigida
39,24,85,No dirigida
22,39,91,No dirigida
33,4,88,No dirigida
14,12,84,No dirigida
6,2,87,No dirigida
6,19,97,No dirigida
41,33,99,No dirigida
14,8,80,No dirigida
4,13,97,No dirigida
21,44,86,No dirigida
6,16,83,No dirigida
19,49,95,No dirigida
41,46,85,No dirigida
9,44,82,No dirigida
7,11,94,No dirigida
20,28,87,No dirigida
10,25,85,No dirigida
46,24,89,No dirigida
43,16,83,No dirigida
17,5,82,No dirigida
40,29,91,No dirigida
35,45,94,No dirigida
15,28,87,No dirigida
49,21,100,No dirigida
11,30,96,No dirigida
21,31,83,No dirigida
22,31,83,No dirigida
42,24,91,No dirigida
36,41,83,No dirigida
26,8,81,No dirigida
19,38,98,No dirigida
32,18,90,No dirigida
4,16,96,No dirigida
45,42,99,No dirigida
6,29,81,No dirigida
45,28,90,No dirigida
8,43,89,No dirigida
34,30,82,No dirigida
26,15,82,No dirigida
3,48,95,No dirigida
19,35,84,No dirigida
11,19,88,No dirigida
37,30,95,No dirigida
19,41,87,No dirigida
29,8,91,No dirigida
39,35,95,No dirigida
39,31,96,No dirigida
48,45,87,No dirigida
38,49,98,No dirigida
20,12,98,No dirigida
43,2,94,No dirigida
35,26,83,No dirigida
18,39,83,No dirigida
3,15,98,No dirigida
27,22,90,No dirigida
32,29,89,No dirigida
18,6,95,No dirigida
12,3,82,No dirigida
6,28,97,No dirigida
1,43,97,No dirigida
31,15,91,No dirigida
18,40,88,No dirigida
8,17,84,No dirigida
5,38,84,No dirigida
