Target,Source,Weight,tipo
21,22,94,No dirigida
21,15,100,No dirigida
21,20,96,No dirigida
21,18,90,No dirigida
21,30,87,No dirigida
21,28,84,No dirigida
21,25,92,No dirigida
21,17,91,No dirigida
21,27,91,No dirigida
21,10,94,No dirigida
21,23,94,No dirigida
7,0,85,No dirigida
7,18,96,No dirigida
7,4,89,No dirigida
7,2,83,No dirigida
7,17,94,No dirigida
7,14,82,No dirigida
7,6,94,No dirigida
7,13,80,No dirigida
7,3,80,No dirigida
7,10,91,No dirigida
7,8,98,No dirigida
7,9,97,No dirigida
7,5,91,No dirigida
47,40,89,No dirigida
47,38,94,No dirigida
47,42,97,No dirigida
47,44,83,No dirigida
47,37,89,No dirigida
47,41,93,No dirigida
47,36,81,No dirigida
47,48,99,No dirigida
47,45,85,No dirigida
47,43,93,No dirigida
24,22,99,No dirigida
24,18,85,No dirigida
24,28,87,No dirigida
24,19,81,No dirigida
24,17,99,No dirigida
24,27,96,No dirigida
24,14,96,No dirigida
24,33,85,No dirigida
24,34,94,No dirigida
24,13,88,No dirigida
24,29,81,No dirigida
24,23,96,No dirigida
22,15,90,No dirigida
22,20,81,No dirigida
22,18,92,No dirigida
22,28,99,No dirigida
22,19,82,No dirigida
22,25,99,No dirigida
22,17,86,No dirigida
22,27,92,No dirigida
22,33,87,No dirigida
22,13,98,No dirigida
22,29,88,No dirigida
22,23,81,No dirigida
0,2,87,No dirigida
0,6,83,No dirigida
0,10,84,Dirigida
0,5,86,No dirigida
40,30,96,No dirigida
40,42,100,No dirigida
40,37,98,No dirigida
40,41,85,No dirigida
40,35,98,No dirigida
40,36,83,No dirigida
40,45,80,No dirigida
38,42,97,No dirigida
38,44,89,No dirigida
38,28,86,No dirigida
38,27,94,No dirigida
38,37,95,No dirigida
38,41,98,No dirigida
38,33,83,No dirigida
38,36,91,No dirigida
38,34,92,No dirigida
38,48,97,No dirigida
38,29,100,No dirigida
38,43,91,No dirigida
38,39,93,No dirigida
15,20,99,No dirigida
15,25,95,No dirigida
15,17,99,No dirigida
15,6,87,No dirigida
15,10,98,No dirigida
15,5,98,No dirigida
20,30,96,Dirigida
20,25,91,No dirigida
20,17,90,No dirigida
20,27,96,No dirigida
20,10,81,No dirigida
18,28,99,No dirigida
18,19,88,No dirigida
18,17,81,No dirigida
18,27,80,No dirigida
18,14,100,No dirigida
18,13,96,No dirigida
18,29,94,No dirigida
18,8,82,No dirigida
18,23,90,No dirigida
18,9,87,No dirigida
30,25,83,No dirigida
30,27,97,No dirigida
30,37,95,No dirigida
30,41,84,Dirigida
30,35,83,No dirigida
30,36,81,No dirigida
42,44,97,No dirigida
42,37,81,No dirigida
42,41,89,No dirigida
42,35,97,No dirigida
42,33,80,No dirigida
42,36,91,No dirigida
42,48,83,No dirigida
42,45,84,No dirigida
42,43,90,No dirigida
42,39,99,No dirigida
44,37,96,No dirigida
44,33,82,No dirigida
44,34,90,No dirigida
44,48,86,No dirigida
44,43,98,No dirigida
44,39,86,No dirigida
28,19,88,No dirigida
28,17,85,No dirigida
28,27,93,No dirigida
28,37,85,No dirigida
28,33,87,No dirigida
28,34,90,No dirigida
28,29,84,No dirigida
28,39,98,No dirigida
28,23,87,No dirigida
4,2,89,No dirigida
4,14,82,No dirigida
4,13,100,No dirigida
4,3,90,No dirigida
4,8,80,No dirigida
4,9,98,No dirigida
19,17,87,No dirigida
19,14,81,No dirigida
19,13,83,No dirigida
19,29,87,No dirigida
19,8,94,No dirigida
19,23,95,No dirigida
19,9,90,No dirigida
25,27,87,No dirigida
25,35,99,No dirigida
25,36,98,No dirigida
2,6,83,No dirigida
2,13,91,No dirigida
2,3,100,No dirigida
2,8,89,No dirigida
2,9,92,No dirigida
2,5,96,No dirigida
17,27,89,No dirigida
17,14,90,No dirigida
17,6,95,No dirigida
17,13,82,No dirigida
17,10,97,No dirigida
17,8,86,No dirigida
17,23,91,No dirigida
27,37,87,No dirigida
27,33,80,No dirigida
27,36,96,No dirigida
27,34,86,No dirigida
27,29,93,No dirigida
27,23,82,No dirigida
14,13,99,No dirigida
14,3,92,No dirigida
14,8,95,No dirigida
14,23,80,No dirigida
14,9,88,No dirigida
37,41,98,No dirigida
37,35,97,No dirigida
37,33,83,No dirigida
37,36,92,No dirigida
37,34,80,No dirigida
37,48,90,No dirigida
37,43,88,No dirigida
37,39,97,No dirigida
41,35,90,No dirigida
41,36,82,No dirigida
41,48,88,Dirigida
41,43,84,No dirigida
35,36,98,No dirigida
35,45,88,No dirigida
6,13,82,No dirigida
6,3,96,No dirigida
6,10,99,No dirigida
6,8,98,No dirigida
6,5,94,No dirigida
33,36,88,No dirigida
33,34,94,No dirigida
33,29,95,No dirigida
33,43,88,No dirigida
33,39,89,No dirigida
33,23,95,No dirigida
36,45,92,No dirigida
36,43,100,No dirigida
34,29,81,No dirigida
34,43,81,No dirigida
34,39,98,No dirigida
34,23,92,No dirigida
13,3,80,No dirigida
13,8,96,No dirigida
13,23,83,No dirigida
13,9,80,No dirigida
48,43,82,No dirigida
48,39,97,No dirigida
3,8,88,No dirigida
3,9,96,No dirigida
10,5,80,No dirigida
29,39,95,No dirigida
29,23,91,No dirigida
43,39,98,No dirigida
8,9,83,No dirigida
