Target,Source,Weight,tipo
105,156,84,No dirigida
105,128,96,No dirigida
105,77,89,No dirigida
105,56,84,No dirigida
421,397,86,No dirigida
421,423,100,No dirigida
421,469,81,No dirigida
421,420,100,No dirigida
397,423,99,No dirigida
397,420,82,No dirigida
251,328,81,No dirigida
330,329,94,No dirigida
330,328,98,No dirigida
156,128,86,No dirigida
128,77,99,No dirigida
438,463,98,No dirigida
438,490,86,No dirigida
438,364,82,No dirigida
25,77,100,No dirigida
417,469,86,No dirigida
417,490,86,No dirigida
417,364,99,No dirigida
417,420,87,No dirigida
463,490,88,No dirigida
329,328,99,No dirigida
63,64,86,No dirigida
63,36,91,No dirigida
423,420,98,No dirigida
285,310,92,No dirigida
469,420,98,No dirigida
243,169,89,No dirigida
243,294,83,No dirigida
243,168,84,No dirigida
169,168,95,No dirigida
45,19,100,No dirigida
64,36,87,No dirigida
105,156,84,No dirigida
105,128,96,No dirigida
105,77,89,No dirigida
105,56,84,No dirigida
421,397,86,No dirigida
421,423,100,No dirigida
421,469,81,No dirigida
421,420,100,No dirigida
397,423,99,No dirigida
397,420,82,No dirigida
251,328,81,No dirigida
330,329,94,No dirigida
330,328,98,No dirigida
156,128,86,No dirigida
128,77,99,No dirigida
438,463,98,No dirigida
438,490,86,No dirigida
438,364,82,No dirigida
25,77,100,No dirigida
417,469,86,No dirigida
417,490,86,No dirigida
417,364,99,No dirigida
417,420,87,No dirigida
463,490,88,No dirigida
329,328,99,No dirigida
63,64,86,No dirigida
63,36,91,No dirigida
423,420,98,No dirigida
285,310,92,No dirigida
469,420,98,No dirigida
243,169,89,No dirigida
243,294,83,No dirigida
243,168,84,No dirigida
169,168,95,No dirigida
45,19,100,No dirigida
64,36,87,No dirigida
463,410,94,No dirigida
463,415,99,No dirigida
463,462,81,No dirigida
463,416,95,No dirigida
463,437,96,No dirigida
463,466,81,No dirigida
463,389,85,No dirigida
463,438,87,No dirigida
463,390,88,No dirigida
463,387,99,No dirigida
463,491,87,No dirigida
463,487,100,No dirigida
463,489,87,No dirigida
463,485,95,No dirigida
463,486,85,No dirigida
463,441,89,No dirigida
463,439,80,No dirigida
463,386,92,No dirigida
463,440,98,No dirigida
463,411,92,No dirigida
463,413,90,No dirigida
83,108,91,No dirigida
83,56,92,No dirigida
83,32,99,No dirigida
83,158,85,No dirigida
83,55,83,No dirigida
83,84,85,No dirigida
83,31,96,No dirigida
83,110,87,No dirigida
83,57,98,No dirigida
83,130,86,No dirigida
83,9,92,No dirigida
83,132,89,No dirigida
83,80,90,No dirigida
83,107,85,No dirigida
83,35,95,No dirigida
83,111,81,No dirigida
83,85,93,No dirigida
83,133,98,No dirigida
83,134,80,No dirigida
83,6,99,No dirigida
83,60,85,No dirigida
83,131,96,No dirigida
83,33,99,No dirigida
83,34,91,No dirigida
83,7,87,No dirigida
83,61,97,No dirigida
83,86,99,No dirigida
83,136,86,No dirigida
83,135,98,No dirigida
150,201,99,No dirigida
150,77,100,No dirigida
150,76,88,No dirigida
150,200,90,No dirigida
150,126,84,No dirigida
150,153,91,No dirigida
150,175,95,No dirigida
150,151,96,No dirigida
150,152,91,No dirigida
150,102,94,No dirigida
150,226,95,No dirigida
150,101,99,No dirigida
150,225,85,No dirigida
150,178,80,No dirigida
150,227,84,No dirigida
150,202,89,No dirigida
150,203,89,No dirigida
410,462,93,No dirigida
410,335,94,No dirigida
410,457,83,No dirigida
410,362,99,No dirigida
410,458,89,No dirigida
410,432,94,No dirigida
410,437,100,No dirigida
410,358,100,No dirigida
410,382,83,No dirigida
410,385,91,No dirigida
410,434,92,No dirigida
410,357,97,No dirigida
410,361,94,No dirigida
410,334,85,No dirigida
410,383,96,No dirigida
410,438,92,No dirigida
410,387,93,No dirigida
410,484,99,No dirigida
410,487,84,No dirigida
410,363,100,No dirigida
410,337,82,No dirigida
410,485,95,No dirigida
410,486,88,No dirigida
410,360,80,No dirigida
