Target,Source,Weight,Tipo
320,251,93,No dirigida
359,410,80,No dirigida
105,29,91,No dirigida
213,62,86,No dirigida
325,331,95,No dirigida
74,380,99,No dirigida
325,261,89,No dirigida
214,328,91,No dirigida
11,69,82,No dirigida
325,430,100,No dirigida
298,74,85,No dirigida
398,130,100,No dirigida
416,208,81,No dirigida
125,317,91,No dirigida
55,255,89,No dirigida
367,408,87,No dirigida
96,139,98,No dirigida
46,182,98,No dirigida
216,134,85,No dirigida
282,73,100,No dirigida
30,271,85,No dirigida
347,20,82,No dirigida
199,68,91,No dirigida
255,214,94,No dirigida
416,178,84,No dirigida
31,72,99,No dirigida
275,375,100,No dirigida
62,281,97,No dirigida
420,149,83,No dirigida
349,241,99,No dirigida
147,22,95,No dirigida
174,310,87,No dirigida
314,115,91,No dirigida
132,350,89,No dirigida
406,414,84,No dirigida
38,365,94,No dirigida
255,339,95,No dirigida
159,286,89,No dirigida
227,265,85,No dirigida
372,195,83,No dirigida
112,229,85,No dirigida
263,223,91,No dirigida
164,133,96,No dirigida
189,175,99,No dirigida
394,6,94,No dirigida
176,152,82,No dirigida
228,320,96,No dirigida
18,388,83,No dirigida
107,122,81,No dirigida
137,153,90,No dirigida
41,317,88,No dirigida
118,5,91,No dirigida
314,277,98,No dirigida
254,262,82,No dirigida
4,85,90,No dirigida
184,272,93,No dirigida
197,14,80,No dirigida
29,26,88,No dirigida
162,148,82,No dirigida
406,19,95,No dirigida
102,343,91,No dirigida
5,299,95,No dirigida
143,20,80,No dirigida
164,357,81,No dirigida
173,40,88,No dirigida
66,294,90,No dirigida
141,360,86,No dirigida
320,121,98,No dirigida
206,209,82,No dirigida
274,228,93,No dirigida
200,111,91,No dirigida
37,149,87,No dirigida
339,277,83,No dirigida
348,290,98,No dirigida
381,178,85,No dirigida
317,378,81,No dirigida
148,295,80,No dirigida
267,409,94,No dirigida
199,299,81,No dirigida
129,206,87,No dirigida
65,211,87,No dirigida
157,58,92,No dirigida
241,417,90,No dirigida
430,79,82,No dirigida
264,181,99,No dirigida
127,255,94,No dirigida
6,101,100,No dirigida
193,171,85,No dirigida
132,94,81,No dirigida
115,87,94,No dirigida
126,205,85,No dirigida
103,274,82,No dirigida
166,124,96,No dirigida
316,210,84,No dirigida
94,138,97,No dirigida
227,106,87,No dirigida
317,190,85,No dirigida
133,13,100,No dirigida
156,134,93,No dirigida
304,350,91,No dirigida
120,297,95,No dirigida
36,153,93,No dirigida
77,63,98,No dirigida
213,280,80,No dirigida
178,320,94,No dirigida
76,158,83,No dirigida
197,417,81,No dirigida
114,377,99,No dirigida
268,280,98,No dirigida
80,417,87,No dirigida
316,430,84,No dirigida
239,195,84,No dirigida
292,37,98,No dirigida
124,237,83,No dirigida
159,300,99,No dirigida
195,427,99,No dirigida
391,273,90,No dirigida
282,119,93,No dirigida
403,53,100,No dirigida
394,31,94,No dirigida
244,69,80,No dirigida
419,29,88,No dirigida
226,307,96,No dirigida
244,269,84,No dirigida
319,164,88,No dirigida
402,159,81,No dirigida
103,291,84,No dirigida
434,211,100,No dirigida
26,150,95,No dirigida
263,379,92,No dirigida
319,65,89,No dirigida
207,305,98,No dirigida
97,155,100,No dirigida
168,27,80,No dirigida
175,201,99,No dirigida
33,56,92,No dirigida
413,228,81,No dirigida
16,164,99,No dirigida
404,169,98,No dirigida
47,17,87,No dirigida
