Target,Source,Weight,tipo
0,25,90,No dirigida
1,26,91,No dirigida
2,27,91,No dirigida
3,28,91,No dirigida
4,29,98,No dirigida
5,30,80,No dirigida
6,31,88,No dirigida
7,32,87,No dirigida
8,33,99,No dirigida
9,34,82,Dirigida
10,35,92,No dirigida
11,36,84,No dirigida
12,37,85,No dirigida
13,38,84,No dirigida
14,39,95,No dirigida
15,40,94,No dirigida
16,41,90,No dirigida
17,42,92,No dirigida
18,43,85,No dirigida
19,44,95,No dirigida
20,45,87,No dirigida
21,46,98,No dirigida
22,47,99,No dirigida
23,48,84,No dirigida
24,49,91,No dirigida
25,50,94,No dirigida
26,51,93,No dirigida
27,52,97,No dirigida
28,53,97,No dirigida
29,54,94,No dirigida
30,55,93,No dirigida
31,56,90,No dirigida
32,57,86,No dirigida
33,58,81,Dirigida
34,59,100,No dirigida
35,60,90,No dirigida
36,61,87,No dirigida
37,62,98,No dirigida
38,63,96,No dirigida
39,64,94,No dirigida
40,65,81,No dirigida
41,66,87,No dirigida
42,67,84,No dirigida
43,68,87,No dirigida
44,69,100,No dirigida
45,70,96,No dirigida
46,71,82,No dirigida
47,72,82,No dirigida
48,73,95,No dirigida
49,74,100,No dirigida
50,75,97,No dirigida
51,76,100,No dirigida
52,77,94,No dirigida
53,78,87,No dirigida
54,79,90,No dirigida
55,80,81,No dirigida
56,81,85,No dirigida
57,82,86,No dirigida
58,83,93,Dirigida
59,84,95,No dirigida
60,85,98,No dirigida
61,86,86,No dirigida
62,87,100,No dirigida
63,88,84,No dirigida
64,89,88,No dirigida
65,90,86,No dirigida
66,91,92,No dirigida
67,92,88,No dirigida
68,93,96,No dirigida
69,94,98,No dirigida
70,95,86,No dirigida
71,96,88,No dirigida
72,97,96,No dirigida
73,98,87,No dirigida
74,99,85,No dirigida
75,100,84,No dirigida
76,101,88,No dirigida
77,102,88,No dirigida
78,103,80,No dirigida
79,104,92,No dirigida
80,105,92,No dirigida
81,106,89,No dirigida
82,107,90,No dirigida
83,108,81,Dirigida
84,109,83,No dirigida
