Target,Source,Weight,Tipo
38,25,93,No dirigida
25,34,83,No dirigida
38,34,90,No dirigida
30,25,99,No dirigida
30,34,80,No dirigida
46,25,98,No dirigida
46,34,95,No dirigida
41,30,95,No dirigida
41,34,97,No dirigida
35,25,91,No dirigida
35,34,81,No dirigida
1,38,93,No dirigida
1,25,88,No dirigida
21,35,98,No dirigida
21,34,88,No dirigida
27,35,99,No dirigida
27,25,83,No dirigida
32,38,85,No dirigida
32,25,80,No dirigida
15,27,87,No dirigida
15,25,82,No dirigida
43,15,85,No dirigida
43,25,100,No dirigida
42,32,90,No dirigida
42,25,83,No dirigida
26,41,100,No dirigida
26,30,80,No dirigida
17,35,83,No dirigida
17,25,82,No dirigida
2,21,83,No dirigida
2,34,99,No dirigida
4,41,88,No dirigida
4,30,87,No dirigida
49,42,93,No dirigida
49,25,86,No dirigida
9,15,97,No dirigida
9,25,95,No dirigida
40,9,95,No dirigida
40,15,100,No dirigida
20,9,85,No dirigida
20,25,92,No dirigida
5,38,86,No dirigida
5,34,86,No dirigida
45,5,80,No dirigida
45,38,85,No dirigida
19,1,94,No dirigida
19,38,100,No dirigida
48,5,90,No dirigida
48,34,99,No dirigida
37,17,95,No dirigida
37,35,99,No dirigida
16,27,95,No dirigida
16,25,95,No dirigida
31,45,92,No dirigida
31,38,93,No dirigida
33,16,96,No dirigida
33,25,86,No dirigida
10,30,96,No dirigida
10,25,94,No dirigida
12,40,98,No dirigida
12,15,90,No dirigida
28,35,97,No dirigida
28,34,94,No dirigida
14,19,98,No dirigida
14,38,96,No dirigida
3,20,93,No dirigida
3,9,88,No dirigida
47,28,80,No dirigida
47,35,94,No dirigida
8,27,97,No dirigida
8,35,93,No dirigida
39,1,85,No dirigida
39,38,82,No dirigida
44,15,82,No dirigida
44,27,97,No dirigida
22,39,88,No dirigida
22,1,82,No dirigida
23,33,89,No dirigida
23,16,87,No dirigida
6,39,92,No dirigida
6,1,85,No dirigida
24,20,88,No dirigida
24,9,87,No dirigida
29,32,90,No dirigida
29,25,89,No dirigida
11,40,84,No dirigida
11,9,96,No dirigida
13,19,96,No dirigida
13,1,96,No dirigida
0,35,90,No dirigida
0,25,82,No dirigida
7,9,84,No dirigida
7,15,97,No dirigida
36,7,96,No dirigida
36,15,82,No dirigida
18,12,97,No dirigida
18,40,85,No dirigida
